AGE,NETINCOME
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
23,0
23,0
23,0
23,0
23,0
24,0
24,0
24,0
24,0
24,0
24,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
26,0
26,0
26,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
28,0
29,0
29,0
29,0
29,0
29,0
30,0
30,0
30,0
31,0
31,0
31,0
32,0
32,0
32,0
32,0
33,0
33,0
33,0
33,0
34,0
34,0
35,0
37,0
37,0
37,0
38,0
38,0
38,0
39,0
40,0
40,0
40,0
40,0
41,0
41,0
42,0
42,0
42,0
43,0
44,0
44,0
44,0
44,0
45,0
45,0
45,0
46,0
46,0
46,0
47,0
47,0
47,0
47,0
47,0
47,0
47,0
48,0
48,0
48,0
48,0
49,0
49,0
49,0
50,0
50,0
50,0
50,0
51,0
51,0
52,0
52,0
52,0
52,0
52,0
52,0
53,0
53,0
53,0
54,0
54,0
54,0
55,0
55,0
55,0
55,0
55,0
55,0
56,0
56,0
56,0
56,0
57,0
58,0
59,0
59,0
59,0
59,0
60,0
60,0
60,0
60,0
61,0
61,0
61,0
61,0
61,0
62,0
62,0
62,0
62,0
63,0
63,0
63,0
64,0
64,0
65,0
65,0
68,0
70,0
71,0
72,0
73,0
73,0
73,0
73,0
74,0
74,0
76,0
77,0
79,0
79,0
79,0
81,0
82,0
89,0
19,30
18,40
18,50
19,50
19,50
70,73
35,75
22,100
45,100
45,100
49,100
58,100
68,100
73,100
21,102
44,110
78,112
23,120
43,120
69,120
65,125
18,130
53,137
21,140
73,145
67,147
22,150
24,150
27,150
49,150
73,150
70,151
32,156
62,159
53,165
70,170
47,175
24,179
67,180
56,181
78,183
32,184
62,190
62,190
18,200
18,200
20,200
23,200
32,200
33,200
33,200
43,200
52,200
55,200
61,200
67,200
74,200
77,200
49,209
77,220
61,225
75,225
73,230
76,230
19,235
60,240
81,240
82,240
85,240
48,248
82,248
19,250
22,250
30,250
40,250
46,250
48,250
58,250
58,250
75,250
22,260
82,260
20,261
59,262
18,270
65,270
71,270
76,270
21,275
32,277
73,280
61,286
70,287
80,299
19,300
20,300
25,300
26,300
26,300
29,300
30,300
30,300
31,300
35,300
40,300
41,300
45,300
51,300
52,300
54,300
57,300
71,300
73,300
74,300
78,300
78,300
79,300
18,308
19,318
51,320
55,320
63,320
74,320
36,325
71,327
21,330
76,330
22,340
74,340
23,345
80,345
19,350
21,350
23,350
24,350
26,350
26,350
27,350
29,350
31,350
34,350
34,350
41,350
46,350
49,350
53,350
58,350
62,350
64,350
32,352
56,354
73,354
26,358
21,359
44,360
49,360
52,360
52,360
73,360
76,360
75,361
31,364
51,364
52,364
40,365
48,365
57,365
61,365
54,367
63,367
54,368
57,368
33,369
41,369
23,370
24,370
28,370
46,370
57,371
29,374
32,374
47,374
49,374
49,374
22,375
44,375
46,379
46,380
52,380
69,380
72,380
48,381
61,385
48,389
21,390
47,390
60,390
25,391
77,392
18,395
19,397
19,400
19,400
20,400
20,400
20,400
20,400
21,400
21,400
21,400
22,400
23,400
23,400
23,400
24,400
24,400
24,400
24,400
24,400
25,400
25,400
26,400
26,400
29,400
29,400
31,400
31,400
31,400
32,400
33,400
33,400
34,400
35,400
37,400
39,400
40,400
41,400
41,400
41,400
42,400
42,400
44,400
44,400
44,400
44,400
44,400
45,400
45,400
45,400
46,400
47,400
48,400
49,400
50,400
50,400
51,400
51,400
51,400
53,400
54,400
54,400
56,400
58,400
59,400
60,400
60,400
62,400
62,400
63,400
63,400
64,400
65,400
67,400
68,400
72,400
67,406
60,410
60,414
22,420
23,420
24,420
51,420
52,420
71,420
50,421
21,425
62,425
18,430
22,430
63,430
70,430
53,440
65,440
19,450
20,450
21,450
23,450
23,450
29,450
35,450
36,450
45,450
46,450
54,450
56,450
57,450
61,450
62,450
62,450
19,460
37,460
76,460
20,470
19,480
25,482
65,483
64,485
78,485
66,490
65,498
19,500
20,500
20,500
20,500
20,500
20,500
20,500
21,500
21,500
21,500
23,500
23,500
26,500
27,500
27,500
29,500
32,500
33,500
37,500
37,500
38,500
39,500
41,500
42,500
48,500
49,500
49,500
49,500
49,500
50,500
51,500
51,500
54,500
56,500
58,500
59,500
61,500
62,500
63,500
64,500
64,500
71,500
72,500
72,500
73,500
75,500
82,500
85,500
61,501
67,503
53,504
20,510
48,510
19,512
21,512
21,520
48,520
64,520
68,520
56,530
62,530
60,535
27,540
35,540
63,540
64,540
65,540
73,540
24,548
36,548
18,550
19,550
21,550
23,550
23,550
42,550
42,550
53,550
55,550
58,550
61,550
75,550
19,553
20,555
82,555
71,556
19,560
41,560
46,560
61,564
35,565
21,570
42,573
73,575
51,577
44,580
48,580
73,580
19,590
20,590
62,590
65,590
79,590
18,600
19,600
19,600
19,600
20,600
21,600
21,600
22,600
22,600
22,600
23,600
23,600
23,600
24,600
24,600
27,600
28,600
28,600
29,600
29,600
30,600
31,600
33,600
34,600
36,600
36,600
37,600
42,600
42,600
42,600
43,600
44,600
46,600
46,600
47,600
52,600
53,600
54,600
54,600
55,600
55,600
55,600
56,600
56,600
58,600
59,600
60,600
61,600
62,600
63,600
64,600
65,600
73,600
73,600
73,600
74,600
75,600
78,600
80,600
83,600
69,602
62,604
69,604
75,605
23,610
72,617
62,618
70,618
19,620
28,620
51,620
73,620
65,621
24,624
18,625
23,625
33,625
48,625
37,629
20,630
34,630
60,630
67,630
76,630
34,633
52,633
60,635
63,638
24,639
28,640
58,640
69,640
78,640
26,641
26,644
63,644
19,650
20,650
21,650
22,650
22,650
24,650
24,650
26,650
26,650
27,650
33,650
37,650
40,650
44,650
46,650
49,650
56,650
60,650
61,650
68,650
70,650
76,650
82,650
69,656
46,662
95,663
21,665
31,670
44,670
44,670
65,670
66,670
64,673
38,680
46,680
67,680
80,680
20,684
56,684
21,685
73,685
72,689
65,690
77,690
62,697
37,699
19,700
20,700
23,700
23,700
25,700
26,700
26,700
29,700
31,700
31,700
31,700
32,700
34,700
35,700
36,700
38,700
39,700
41,700
43,700
45,700
46,700
46,700
46,700
47,700
47,700
49,700
49,700
49,700
50,700
50,700
50,700
50,700
50,700
51,700
51,700
51,700
52,700
54,700
57,700
57,700
58,700
58,700
61,700
64,700
64,700
64,700
65,700
72,700
74,700
75,700
76,700
77,700
81,700
82,700
84,700
88,700
95,700
59,704
62,710
68,710
70,712
26,720
38,720
65,720
52,725
50,727
26,730
37,730
54,730
69,730
63,732
19,740
35,740
71,740
75,740
36,745
19,747
57,749
20,750
22,750
23,750
25,750
26,750
26,750
29,750
34,750
42,750
42,750
43,750
45,750
48,750
60,750
62,750
62,750
70,750
73,750
77,750
92,750
20,760
48,762
29,765
47,770
62,770
68,770
75,776
53,780
64,780
67,780
71,780
82,780
76,789
65,790
19,800
20,800
20,800
21,800
22,800
22,800
22,800
25,800
25,800
26,800
28,800
29,800
31,800
32,800
32,800
33,800
34,800
34,800
35,800
35,800
36,800
38,800
38,800
39,800
39,800
39,800
41,800
42,800
42,800
44,800
44,800
45,800
45,800
45,800
47,800
48,800
49,800
49,800
50,800
50,800
51,800
51,800
51,800
52,800
52,800
54,800
54,800
55,800
55,800
56,800
56,800
57,800
58,800
58,800
59,800
59,800
59,800
59,800
60,800
60,800
61,800
63,800
63,800
64,800
65,800
66,800
67,800
68,800
69,800
69,800
70,800
72,800
72,800
72,800
72,800
72,800
73,800
75,800
78,800
79,800
79,800
81,800
83,800
84,800
70,805
85,807
43,811
70,815
31,820
33,820
52,820
81,820
48,823
64,826
64,830
76,830
81,830
68,836
26,838
20,850
30,850
32,850
42,850
42,850
45,850
53,850
57,850
63,850
64,850
65,850
67,850
70,850
71,850
74,850
76,850
82,850
22,854
21,860
70,860
75,860
70,865
21,870
28,870
37,870
43,870
58,870
79,870
24,875
51,875
64,875
50,880
55,880
77,880
78,880
28,885
43,890
77,890
20,900
23,900
23,900
23,900
25,900
25,900
26,900
26,900
26,900
26,900
27,900
28,900
31,900
32,900
33,900
35,900
35,900
36,900
37,900
39,900
40,900
43,900
43,900
43,900
44,900
46,900
47,900
50,900
50,900
50,900
51,900
51,900
51,900
51,900
55,900
55,900
55,900
57,900
58,900
62,900
63,900
65,900
67,900
68,900
68,900
71,900
71,900
71,900
71,900
72,900
72,900
75,900
75,900
76,900
77,900
78,900
85,900
76,905
29,910
79,915
19,920
72,920
72,920
77,920
31,930
39,930
42,930
27,933
56,940
59,940
21,950
35,950
42,950
42,950
47,950
49,950
52,950
58,950
66,950
67,950
67,950
75,950
75,950
76,950
25,957
63,960
83,960
19,965
56,965
27,966
74,970
78,978
23,980
45,980
54,980
62,980
68,980
69,980
70,980
63,990
63,990
19,1000
20,1000
21,1000
21,1000
22,1000
23,1000
23,1000
25,1000
25,1000
25,1000
25,1000
26,1000
27,1000
28,1000
28,1000
29,1000
30,1000
30,1000
30,1000
31,1000
31,1000
33,1000
35,1000
36,1000
36,1000
37,1000
37,1000
37,1000
38,1000
38,1000
39,1000
40,1000
40,1000
40,1000
43,1000
43,1000
45,1000
45,1000
45,1000
45,1000
46,1000
46,1000
46,1000
47,1000
48,1000
48,1000
48,1000
48,1000
48,1000
49,1000
49,1000
