,M,W
unter 1 Jahr,367563,348856
1-Jährige,357015,338900
2-Jährige,356316,338053
3-Jährige,349198,331911
4-Jährige,357848,340751
5-Jährige,353123,334728
6-Jährige,361899,344281
7-Jährige,361652,342682
8-Jährige,355412,336078
9-Jährige,359878,341745
10-Jährige,369406,350616
11-Jährige,369612,350910
12-Jährige,376432,356637
13-Jährige,385989,364876
14-Jährige,402305,382051
15-Jährige,404519,382142
16-Jährige,414362,391637
17-Jährige,428231,404406
18-Jährige,426521,399698
19-Jährige,421020,394252
20-Jährige,432716,406457
21-Jährige,450035,424922
22-Jährige,459824,436098
23-Jährige,481990,456828
24-Jährige,533339,504119
25-Jährige,528866,501825
26-Jährige,546727,515448
27-Jährige,537339,507022
28-Jährige,528076,502548
29-Jährige,511013,487962
30-Jährige,509925,487995
31-Jährige,510873,492174
32-Jährige,522297,505038
33-Jährige,516101,505079
34-Jährige,516859,507740
35-Jährige,492886,484850
36-Jährige,487057,478458
37-Jährige,483642,474312
38-Jährige,473637,467299
39-Jährige,462223,454252
40-Jährige,467677,462502
41-Jährige,471883,467300
42-Jährige,514066,506780
43-Jährige,567973,557547
44-Jährige,589545,579006
45-Jährige,636515,620979
46-Jährige,667294,650747
47-Jährige,685436,669462
48-Jährige,705545,687907
49-Jährige,709406,689133
50-Jährige,721521,703668
51-Jährige,714491,698833
52-Jährige,689365,678727
53-Jährige,676981,671413
54-Jährige,652446,649207
55-Jährige,633996,631628
56-Jährige,597118,596851
57-Jährige,581600,584477
58-Jährige,562594,569613
59-Jährige,540425,554830
60-Jährige,524440,548380
61-Jährige,503398,532319
62-Jährige,500343,531306
63-Jährige,488275,519980
64-Jährige,485673,518863
65-Jährige,468215,499605
66-Jährige,426282,454034
67-Jährige,395698,427281
68-Jährige,341543,372468
69-Jährige,294231,329537
70-Jährige,390745,437094
71-Jährige,392647,441561
72-Jährige,375001,426336
73-Jährige,444900,518233
74-Jährige,456567,543130
75-Jährige,436973,531233
76-Jährige,394993,487891
77-Jährige,354121,449056
78-Jährige,326505,427041
79-Jährige,298913,402579
80-Jährige,260419,362291
81-Jährige,194658,281809
82-Jährige,178403,270703
83-Jährige,165283,263433
84-Jährige,156351,263352
85 Jahre und mehr,631277,1516319
