1876;2600
1877;9300
1878;26300
1879;30900
1880;47900
1881;71400
1882;97700
1883;123600
1884;147700
1885;155800
1886;167100
1887;180700
1888;195000
1889;211500
1890;227900
1891;239300
1892;260800
1893;266400
1894;285400
1895;339500
1896;404300
1897;515200
1898;680800
1899;1004700
1900;1355900
1901;1801100
1902;2371044
1903;2808900
1904;3353200
1905;4126900
1906;4932800
1907;6118578
1908;6483600
1909;6995700
1910;7635400
1911;8348700
1912;8729592
1913;9542500
1914;10046400
1915;10523500
1916;11241400
1917;11716520
1918;12077600
1919;12668500
1920;13411400
1921;13875200
1922;14347395
1923;15369500
1924;16208900
1925;16935900
1926;17746200
1927;18522767
1928;19341300
1929;20233000
1930;20201600
1931;19707600
1932;17424406
1933;16710900
1934;16968800
1935;17424000
1936;18433000
1937;19453401
1938;19953000
1939;20831000
1940;21928000
1941;23521000
1942;24919000
1943;26381000
1944;26859000
1945;27867000
1946;31611000
1947;34867000
1948;38205000
1949;40708000
1950;43003800
1951;45636400
1952;48056300
1953;50373000
1954;52813000
1955;56243200
1956;60190400
1957;63620900
1958;66629600
1959;70819000
1960;74341100
1961;77425400
1962;80971700
1963;84450300
1964;88787400
1965;93658800
1966;98785600
1967;103751900
1968;109255600
1969;115200700
1970;120221000
1971;125140800
1972;131602500
1973;138288389
1974;143971452
1975;149007803
1976;155173288
1977;162072146
1978;169026948
1979;175535112
1980;180424023
1981;181891596
